Number,Hora,Total,Es_Bessons,Lubi,Son_Rues,Valldurgent,Son_Orlandis,Murterar_Power,GESA,Santa_Ponsa,Cas_Tresoare,Cala_Bosc,Ciutadella,Mahon,Dragonera,Es_Merceds,Elvissa
112,18:30:00,619,40.96699745,14.39786106,44.13518096,143.3201054,4.80269367,29.28491692,13.19803931,11.0089267,169.2344839,1.617277276,26.86354413,8.727348321,7.274062539,7.763404736,96.40515766
113,18:40:00,618,40.9008149,14.37460119,44.06388018,143.0885705,4.794934876,29.23760687,13.17671776,10.99114168,168.9610841,1.61466455,26.82014583,8.713249212,7.262311227,7.750862887,96.24941427
114,18:50:00,616,40.7684498,14.32808145,43.92127863,142.6255007,4.779417288,29.14298679,13.13407466,10.95557165,168.4142844,1.609439098,26.73334924,8.685050994,7.238808601,7.725779188,95.93792749
115,19:00:00,619,40.96699745,14.39786106,44.13518096,143.3201054,4.80269367,29.28491692,13.19803931,11.0089267,169.2344839,1.617277276,26.86354413,8.727348321,7.274062539,7.763404736,96.40515766
116,19:10:00,621,41.09936255,14.44438081,44.27778251,143.7831752,4.818211259,29.379537,13.24068241,11.04449674,169.7812835,1.622502727,26.95034071,8.755546538,7.297565165,7.788488435,96.71664444
117,19:20:00,624,41.29791019,14.51416043,44.49168484,144.4777799,4.841487642,29.52146713,13.30464706,11.0978518,170.6014829,1.630340905,27.0805356,8.797843864,7.332819103,7.826113983,97.1838746
118,19:30:00,624,41.29791019,14.51416043,44.49168484,144.4777799,4.841487642,29.52146713,13.30464706,11.0978518,170.6014829,1.630340905,27.0805356,8.797843864,7.332819103,7.826113983,97.1838746
119,19:40:00,624,41.29791019,14.51416043,44.49168484,144.4777799,4.841487642,29.52146713,13.30464706,11.0978518,170.6014829,1.630340905,27.0805356,8.797843864,7.332819103,7.826113983,97.1838746
120,19:50:00,625,41.36409274,14.5374203,44.56298562,144.7093148,4.849246436,29.56877718,13.32596861,11.11563682,170.8748827,1.632953631,27.12393389,8.811942973,7.344570415,7.838655832,97.33961799
121,20:00:00,627,41.49645784,14.58394004,44.70558718,145.1723846,4.864764025,29.66339726,13.36861171,11.15120685,171.4216824,1.638179082,27.21073048,8.840141191,7.368073041,7.863739531,97.65110477
122,20:10:00,627,41.49645784,14.58394004,44.70558718,145.1723846,4.864764025,29.66339726,13.36861171,11.15120685,171.4216824,1.638179082,27.21073048,8.840141191,7.368073041,7.863739531,97.65110477
123,20:20:00,627,41.49645784,14.58394004,44.70558718,145.1723846,4.864764025,29.66339726,13.36861171,11.15120685,171.4216824,1.638179082,27.21073048,8.840141191,7.368073041,7.863739531,97.65110477
124,20:30:00,628,41.56264038,14.60719992,44.77688795,145.4039195,4.872522819,29.71070731,13.38993326,11.16899187,171.6950822,1.640791808,27.25412877,8.854240299,7.379824353,7.87628138,97.80684816
125,20:40:00,628,41.56264038,14.60719992,44.77688795,145.4039195,4.872522819,29.71070731,13.38993326,11.16899187,171.6950822,1.640791808,27.25412877,8.854240299,7.379824353,7.87628138,97.80684816
126,20:50:00,630,41.69500548,14.65371966,44.91948951,145.8669893,4.888040408,29.80532739,13.43257636,11.20456191,172.2418818,1.64601726,27.34092536,8.882438517,7.403326979,7.901365079,98.11833493
127,21:00:00,632,41.82737058,14.70023941,45.06209106,146.3300592,4.903557996,29.89994748,13.47521946,11.24013195,172.7886814,1.651242711,27.42772195,8.910636734,7.426829604,7.926448777,98.42982171
128,21:10:00,631,41.76118803,14.67697953,44.99079028,146.0985243,4.895799202,29.85263744,13.45389791,11.22234693,172.5152816,1.648629986,27.38432366,8.896537626,7.415078291,7.913906928,98.27407832
129,21:20:00,634,41.95973567,14.74675915,45.20469261,146.793129,4.919075585,29.99456757,13.51786256,11.27570199,173.3354811,1.656468163,27.51451854,8.938834952,7.450332229,7.951532476,98.74130849
130,21:30:00,644,42.62156116,14.97935788,45.91770038,149.108478,4.996663528,30.467668,13.73107805,11.45355218,176.0694792,1.682595421,27.94850148,9.07982604,7.567845356,8.076950969,100.2987424
131,21:40:00,652,43.15102155,15.16543686,46.4881066,150.9607572,5.058733882,30.84614835,13.90165045,11.59583233,178.2566777,1.703497228,28.29568784,9.19261891,7.661855857,8.177285764,101.5446895
132,21:50:00,648,42.88629135,15.07239737,46.20290349,150.0346176,5.027698705,30.65690818,13.81636425,11.52469225,177.1630784,1.693046324,28.12209466,9.136222475,7.614850607,8.127118367,100.9217159
133,22:00:00,645,42.68774371,15.00261775,45.98900116,149.3400129,5.004422322,30.51497805,13.7523996,11.47133719,176.342879,1.685208147,27.99189978,9.093925148,7.579596669,8.089492819,100.4544858
134,22:10:00,634,41.95973567,14.74675915,45.20469261,146.793129,4.919075585,29.99456757,13.51786256,11.27570199,173.3354811,1.656468163,27.51451854,8.938834952,7.450332229,7.951532476,98.74130849
